season,northeast
1983/84,12.087
1984/85,11.083
1985/86,12.836
1986/87,14.745
1987/88,14.421
1988/89,12.741
1989/90,13.299
1990/91,11.157
1991/92,12.252
1992/93,13.217
1993/94,13.718
1994/95,11.265
1995/96,13.825
1996/97,12.407
1997/98,12.712
1998/99,12.299
1999/00,12.025
2000/01,13.697
2001/02,12.188
2002/03,13.991
2003/04,12.892
2004/05,13.661
2006/07,11.801
2006/07,12.505
2007/08,14.261
2008/09,13.73
2009/10,13.411
2010/11,13.887
2011/12,11.021
2012/13,13.334
2013/14,13.386
2014/15,13.332
2015/16,9.346
2016/17,11.936
2017/18,11.987
2018/19,12.514
